0#0,Pos.,Player,Date of birth (age),Caps,Goals,Club,club_link,squad,player_link
8,3MF,Fabian Frei,(1989-01-08)8 January 1989 (aged 27),8,1,Mainz 05,https://en.wikipedia.org/wiki/1._FSV_Mainz_05,Switzerland,https://en.wikipedia.org/wiki/Fabian_Frei
9,4FW,Haris Seferović,(1992-02-22)22 February 1992 (aged 24),30,7,Eintracht Frankfurt,https://en.wikipedia.org/wiki/Eintracht_Frankfurt,Switzerland,https://en.wikipedia.org/wiki/Haris_Seferovi%C4%87
10,3MF,Granit Xhaka,(1992-09-27)27 September 1992 (aged 23),43,6,Borussia Mönchengladbach,https://en.wikipedia.org/wiki/Borussia_M%C3%B6nchengladbach,Switzerland,https://en.wikipedia.org/wiki/Granit_Xhaka
11,3MF,Valon Behrami,(1985-04-19)19 April 1985 (aged 31),66,2,Watford,https://en.wikipedia.org/wiki/Watford_F.C.,Switzerland,https://en.wikipedia.org/wiki/Valon_Behrami
12,1GK,Marwin Hitz,(1987-09-18)18 September 1987 (aged 28),2,0,FC Augsburg,https://en.wikipedia.org/wiki/FC_Augsburg,Switzerland,https://en.wikipedia.org/wiki/Marwin_Hitz
13,2DF,Ricardo Rodríguez,(1992-08-25)25 August 1992 (aged 23),37,0,VfL Wolfsburg,https://en.wikipedia.org/wiki/VfL_Wolfsburg,Switzerland,https://en.wikipedia.org/wiki/Ricardo_Rodr%C3%ADguez_(footballer)
14,3MF,Denis Zakaria,(1996-11-20)20 November 1996 (aged 19),2,0,Young Boys,https://en.wikipedia.org/wiki/BSC_Young_Boys,Switzerland,https://en.wikipedia.org/wiki/Denis_Zakaria
15,3MF,Blerim Džemaili,(1986-04-12)12 April 1986 (aged 30),48,6,Genoa,https://en.wikipedia.org/wiki/Genoa_C.F.C.,Switzerland,https://en.wikipedia.org/wiki/Blerim_D%C5%BEemaili
16,3MF,Gélson Fernandes,(1986-09-02)2 September 1986 (aged 29),56,2,Rennes,https://en.wikipedia.org/wiki/Stade_Rennais_F.C.,Switzerland,https://en.wikipedia.org/wiki/G%C3%A9lson_Fernandes
17,4FW,Shani Tarashaj,(1995-02-07)7 February 1995 (aged 21),4,0,Grasshopper,https://en.wikipedia.org/wiki/Grasshopper_Club_Z%C3%BCrich,Switzerland,https://en.wikipedia.org/wiki/Shani_Tarashaj
18,4FW,Admir Mehmedi,(1991-03-16)16 March 1991 (aged 25),42,4,Bayer Leverkusen,https://en.wikipedia.org/wiki/Bayer_04_Leverkusen,Switzerland,https://en.wikipedia.org/wiki/Admir_Mehmedi
19,4FW,Eren Derdiyok,(1988-06-12)12 June 1988 (aged 27),52,10,Kasımpaşa,https://en.wikipedia.org/wiki/Kas%C4%B1mpa%C5%9Fa_Spor_Kul%C3%BCb%C3%BC,Switzerland,https://en.wikipedia.org/wiki/Eren_Derdiyok
20,2DF,Johan Djourou,(1987-01-18)18 January 1987 (aged 29),60,2,Hamburger SV,https://en.wikipedia.org/wiki/Hamburger_SV,Switzerland,https://en.wikipedia.org/wiki/Johan_Djourou
21,1GK,Roman Bürki,(1990-11-14)14 November 1990 (aged 25),5,0,Borussia Dortmund,https://en.wikipedia.org/wiki/Borussia_Dortmund,Switzerland,https://en.wikipedia.org/wiki/Roman_B%C3%BCrki
22,2DF,Fabian Schär,(1991-12-20)20 December 1991 (aged 24),20,5,1899 Hoffenheim,https://en.wikipedia.org/wiki/TSG_1899_Hoffenheim,Switzerland,https://en.wikipedia.org/wiki/Fabian_Sch%C3%A4r
23,3MF,Xherdan Shaqiri,(1991-10-10)10 October 1991 (aged 24),53,17,Stoke City,https://en.wikipedia.org/wiki/Stoke_City_F.C.,Switzerland,https://en.wikipedia.org/wiki/Xherdan_Shaqiri
1,1GK,Joe Hart,(1987-04-19)19 April 1987 (aged 29),59,0,Manchester City,https://en.wikipedia.org/wiki/Manchester_City_F.C.,England,https://en.wikipedia.org/wiki/Joe_Hart
2,2DF,Kyle Walker,(1990-05-28)28 May 1990 (aged 26),16,0,Tottenham Hotspur,https://en.wikipedia.org/wiki/Tottenham_Hotspur_F.C.,England,https://en.wikipedia.org/wiki/Kyle_Walker
3,2DF,Danny Rose,(1990-07-02)2 July 1990 (aged 25),4,0,Tottenham Hotspur,https://en.wikipedia.org/wiki/Tottenham_Hotspur_F.C.,England,"https://en.wikipedia.org/wiki/Danny_Rose_(footballer,_born_1990)"
4,3MF,James Milner,(1986-01-04)4 January 1986 (aged 30),60,1,Liverpool,https://en.wikipedia.org/wiki/Liverpool_F.C.,England,https://en.wikipedia.org/wiki/James_Milner
5,2DF,Gary Cahill,(1985-12-19)19 December 1985 (aged 30),43,3,Chelsea,https://en.wikipedia.org/wiki/Chelsea_F.C.,England,https://en.wikipedia.org/wiki/Gary_Cahill
6,2DF,Chris Smalling,(1989-11-22)22 November 1989 (aged 26),25,1,Manchester United,https://en.wikipedia.org/wiki/Manchester_United_F.C.,England,https://en.wikipedia.org/wiki/Chris_Smalling
7,3MF,Raheem Sterling,(1994-12-08)8 December 1994 (aged 21),23,2,Manchester City,https://en.wikipedia.org/wiki/Manchester_City_F.C.,England,https://en.wikipedia.org/wiki/Raheem_Sterling
8,3MF,Adam Lallana,(1988-05-10)10 May 1988 (aged 28),23,0,Liverpool,https://en.wikipedia.org/wiki/Liverpool_F.C.,England,https://en.wikipedia.org/wiki/Adam_Lallana
9,4FW,Harry Kane,(1993-07-28)28 July 1993 (aged 22),12,5,Tottenham Hotspur,https://en.wikipedia.org/wiki/Tottenham_Hotspur_F.C.,England,https://en.wikipedia.org/wiki/Harry_Kane
10,4FW,Wayne Rooney (captain),(1985-10-24)24 October 1985 (aged 30),111,52,Manchester United,https://en.wikipedia.org/wiki/Manchester_United_F.C.,England,https://en.wikipedia.org/wiki/Wayne_Rooney
11,4FW,Jamie Vardy,(1987-01-11)11 January 1987 (aged 29),8,3,Leicester City,https://en.wikipedia.org/wiki/Leicester_City_F.C.,England,https://en.wikipedia.org/wiki/Jamie_Vardy
12,2DF,Nathaniel Clyne,(1991-04-05)5 April 1991 (aged 25),12,0,Liverpool,https://en.wikipedia.org/wiki/Liverpool_F.C.,England,https://en.wikipedia.org/wiki/Nathaniel_Clyne
13,1GK,Fraser Forster,(1988-03-17)17 March 1988 (aged 28),6,0,Southampton,https://en.wikipedia.org/wiki/Southampton_F.C.,England,https://en.wikipedia.org/wiki/Fraser_Forster
14,3MF,Jordan Henderson,(1990-06-17)17 June 1990 (aged 25),26,0,Liverpool,https://en.wikipedia.org/wiki/Liverpool_F.C.,England,https://en.wikipedia.org/wiki/Jordan_Henderson
15,4FW,Daniel Sturridge,(1989-09-01)1 September 1989 (aged 26),18,5,Liverpool,https://en.wikipedia.org/wiki/Liverpool_F.C.,England,https://en.wikipedia.org/wiki/Daniel_Sturridge
16,2DF,John Stones,(1994-05-28)28 May 1994 (aged 22),10,0,Everton,https://en.wikipedia.org/wiki/Everton_F.C.,England,https://en.wikipedia.org/wiki/John_Stones
17,3MF,Eric Dier,(1994-01-15)15 January 1994 (aged 22),7,1,Tottenham Hotspur,https://en.wikipedia.org/wiki/Tottenham_Hotspur_F.C.,England,https://en.wikipedia.org/wiki/Eric_Dier
18,3MF,Jack Wilshere,(1992-01-01)1 January 1992 (aged 24),31,2,Arsenal,https://en.wikipedia.org/wiki/Arsenal_F.C.,England,https://en.wikipedia.org/wiki/Jack_Wilshere
19,3MF,Ross Barkley,(1993-12-05)5 December 1993 (aged 22),22,2,Everton,https://en.wikipedia.org/wiki/Everton_F.C.,England,https://en.wikipedia.org/wiki/Ross_Barkley
20,3MF,Dele Alli,(1996-04-11)11 April 1996 (aged 20),8,1,Tottenham Hotspur,https://en.wikipedia.org/wiki/Tottenham_Hotspur_F.C.,England,https://en.wikipedia.org/wiki/Dele_Alli
21,2DF,Ryan Bertrand,(1989-08-05)5 August 1989 (aged 26),8,0,Southampton,https://en.wikipedia.org/wiki/Southampton_F.C.,England,https://en.wikipedia.org/wiki/Ryan_Bertrand
22,4FW,Marcus Rashford,(1997-10-31)31 October 1997 (aged 18),1,1,Manchester United,https://en.wikipedia.org/wiki/Manchester_United_F.C.,England,https://en.wikipedia.org/wiki/Marcus_Rashford
23,1GK,Tom Heaton,(1986-04-15)15 April 1986 (aged 30),1,0,Burnley,https://en.wikipedia.org/wiki/Burnley_F.C.,England,https://en.wikipedia.org/wiki/Tom_Heaton
1,1GK,Igor Akinfeev,(1986-04-08)8 April 1986 (aged 30),86,0,CSKA Moscow,https://en.wikipedia.org/wiki/PFC_CSKA_Moscow,Russia,https://en.wikipedia.org/wiki/Igor_Akinfeev
2,2DF,Roman Shishkin,(1987-01-27)27 January 1987 (aged 29),10,0,Lokomotiv Moscow,https://en.wikipedia.org/wiki/FC_Lokomotiv_Moscow,Russia,https://en.wikipedia.org/wiki/Roman_Shishkin
3,2DF,Igor Smolnikov,(1988-08-08)8 August 1988 (aged 27),12,0,Zenit Saint Petersburg,https://en.wikipedia.org/wiki/FC_Zenit_Saint_Petersburg,Russia,https://en.wikipedia.org/wiki/Igor_Smolnikov
4,2DF,Sergei Ignashevich,(1979-07-14)14 July 1979 (aged 36),115,8,CSKA Moscow,https://en.wikipedia.org/wiki/PFC_CSKA_Moscow,Russia,https://en.wikipedia.org/wiki/Sergei_Ignashevich
5,2DF,Roman Neustädter,(1988-02-18)18 February 1988 (aged 28),0,0,Schalke 04,https://en.wikipedia.org/wiki/FC_Schalke_04,Russia,https://en.wikipedia.org/wiki/Roman_Neust%C3%A4dter
6,2DF,Aleksei Berezutski,(1982-06-20)20 June 1982 (aged 33),57,0,CSKA Moscow,https://en.wikipedia.org/wiki/PFC_CSKA_Moscow,Russia,https://en.wikipedia.org/wiki/Aleksei_Berezutski
7,3MF,Artur Yusupov,(1989-09-01)1 September 1989 (aged 26),2,0,Zenit Saint Petersburg,https://en.wikipedia.org/wiki/FC_Zenit_Saint_Petersburg,Russia,https://en.wikipedia.org/wiki/Artur_Rimovich_Yusupov
8,3MF,Denis Glushakov,(1987-01-27)27 January 1987 (aged 29),42,4,Spartak Moscow,https://en.wikipedia.org/wiki/FC_Spartak_Moscow,Russia,https://en.wikipedia.org/wiki/Denis_Glushakov
9,4FW,Aleksandr Kokorin,(1991-03-19)19 March 1991 (aged 25),37,11,Zenit Saint Petersburg,https://en.wikipedia.org/wiki/FC_Zenit_Saint_Petersburg,Russia,https://en.wikipedia.org/wiki/Aleksandr_Kokorin
10,4FW,Fyodor Smolov,(1990-02-05)5 February 1990 (aged 26),12,5,Krasnodar,https://en.wikipedia.org/wiki/FC_Krasnodar,Russia,https://en.wikipedia.org/wiki/Fyodor_Smolov
